# Synthetic deterministic NumPy regression fixture; not empirical calibration.
key	value
property.0.rho	1058.3425009867835
property.0.cp	3618.8175999999999
property.0.k	0.47506752000000002
property.20.rho	1055.4432837237391
property.20.cp	3625.3843325599992
property.20.k	0.50442239716000004
property.70.rho	1050
property.70.cp	3654.42398886
property.70.k	0.55804818021000002
property.120.rho	1050
property.120.cp	3701.49625216
property.120.k	0.58344337775999999
geometry.volume	0.001417468236266328
geometry.area	0.063300653526346173
geometry.active	224
geometry.pan	52
simulation.0.coldest	5
simulation.0.center	5
simulation.0.mean	5
simulation.0.pasteurization	0
simulation.0.moisture	0.015825163381586543
simulation.30.coldest	5.0000000023935751
simulation.30.center	5.00001855171634
simulation.30.mean	6.4152512427814239
simulation.30.pasteurization	6.4633040709165782e-08
simulation.30.moisture	0.015824016610056758
simulation.120.coldest	5.0000029218040245
simulation.120.center	5.0012538783814016
simulation.120.mean	10.324793590783495
simulation.120.pasteurization	2.5853220244189303e-07
simulation.120.moisture	0.015699036770185758
ledger.convection	8826.4887533998717
ledger.radiation	9508.2701772038981
ledger.evaporation	290.09120622180882
ledger.net	18044.667724381961
ledger.enthalpy	18044.667724381969
ledger.residual	5.4001247917767614e-12
